Questions,Queries
What type of movie is The Big Parade ?,"db.movies.find({""title"":""The Big Parade""}, {""genres"":1})"
"Has the movie The Green Pastures won any awards? If so, which ones?","db.movies.find({""title"":""The Green Pastures"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
who was the writer of the film The Immigrant?,"db.movies.find({""title"": ""The Immigrant""}, {""writers"": 1})"
which person wrote the film Dracula?,"db.movies.find({""title"": ""Dracula""}, {""writers"": 1})"
who are the actors in The Birth of a Nation?,"db.movies.find({""title"": ""The Birth of a Nation""}, {""cast"": 1})"
the movie Rembrandt starred who?,"db.movies.find({""title"": ""Rembrandt""}, {""cast"": 1})"
what sort of film is White Shadows?,"db.movies.find({""title"": ""White Shadows""}, {""genres"": 1})"
How many votes did the movie The Docks of New York receive on IMDB?,"db.movies.find({""title"": ""The Docks of New York""}, { ""imdb.votes"": 1})"
the film The Lower Depths starred which actors?,"db.movies.find({""title"": ""The Lower Depths""}, {""cast"": 1})"
What is the ID of the movie The Passion of Joan of Arc on IMDB?,"db.movies.find({""title"": ""The Passion of Joan of Arc""}, {""imdb.id"": 1})"
How many votes did the movie Little Women receive on IMDB?,"db.movies.find({""title"": ""Little Women""}, { ""imdb.votes"": 1})"
which company produced the movie Seven Chances?,"db.movies.find({""title"":""Seven Chances""}, {""tomatoes.production"":1})"
who are the actors in the film Maria Chapdelaine?,"db.movies.find({""title"": ""Maria Chapdelaine""}, {""cast"": 1})"
the film Come and Get It was directed by who?,"db.movies.find({""title"": ""Come and Get It""}, {""directors"": 1})"
what is The Band Concert imdb rating?,"db.movies.find({""title"": ""The Band Concert""}, {""imdb.rating"": 1})"
how has Metropolis been recieved by critics and audience?,"db.movies.find({""title"":""Metropolis""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
which person wrote the film Wild Oranges?,"db.movies.find({""title"": ""Wild Oranges""}, {""writers"": 1})"
What languages are spoken in the movie A Farewell to Arms ?,"db.movies.find({""title"": ""A Farewell to Arms""}, { ""languages"": 1})"
what is the film Marked Woman about in details?,"db.movies.find({""title"": ""Marked Woman""}, {""fullplot"": 1})"
How many reviews did the movie Popeye the Sailor Meets Sindbad the Sailor receive on Rotten Tomatoes?,"db.movies.find({""title"":""Popeye the Sailor Meets Sindbad the Sailor""}, {""tomatoes.viewer.numReviews"": 1,""tomatoes.critic.numReviews"":1})"
"When was the information about the movie Laugh, Clown, Laugh last updated?","db.movies.find({ ""title"": ""Laugh, Clown, Laugh"" }, { ""lastupdated"": 1})"
what kind of film is The Invisible Ray?,"db.movies.find({""title"": ""The Invisible Ray""}, {""genres"": 1})"
who wrote the film Where Are My Children??,"db.movies.find({""title"": ""Where Are My Children?""}, {""writers"": 1})"
who wrote the film Metropolis?,"db.movies.find({""title"": ""Metropolis""}, {""writers"": 1})"
what is the genre for the movie Nosferatu?,"db.movies.find({""title"": ""Nosferatu""}, {""genres"": 1})"
How many votes does the movie One Hundred Men and a Girl have on IMDb?,"db.movies.find({""title"":""One Hundred Men and a Girl""}, {""imdb.votes"":1})"
what is the film Men Without Women description ?,"db.movies.find({""title"": ""Men Without Women""}, {""plot"": 1})"
"what was the release date of Laugh, Clown, Laugh?","db.movies.find({""title"": ""Laugh, Clown, Laugh""}, {""released"": 1})"
how has The Last Command been recieved by critics and audience?,"db.movies.find({""title"":""The Last Command""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
Napoleon was directed by who?,"db.movies.find({""title"": ""Napoleon""}, {""directors"": 1})"
the movie The Story of a Cheat was directed by who?,"db.movies.find({""title"": ""The Story of a Cheat""}, {""directors"": 1})"
"Has the movie The Man Who Could Work Miracles won any awards? If so, which ones?","db.movies.find({""title"":""The Man Who Could Work Miracles"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
the film Stage Door starred who?,"db.movies.find({""title"": ""Stage Door""}, {""cast"": 1})"
What is the MPAA rating of the movie Stage Door?,"db.movies.find({""title"":""Stage Door""}, {""rated"":1})"
What is the Tomatometer score of the movie Masquerade in Vienna ?,"db.movies.find({ ""title"": ""Masquerade in Vienna"" },{ ""tomatoes.critic.meter"": 1 })"
Was the movie Wild and Woolly well received by audiences and critics?,"db.movies.find({""title"":""Wild and Woolly""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
How many award nominations did the movie receive Dodsworth ?,"db.movies.find({ ""title"": ""Dodsworth"" },{ ""awards.nominations"": 1 })"
what was the release year of the film Everybody's Woman?,"db.movies.find({""title"": ""Everybody's Woman""}, {""year"": 1})"
What languages are spoken in the movie Clash of the Wolves ?,"db.movies.find({""title"": ""Clash of the Wolves""}, { ""languages"": 1})"
What was the release date for the movie The Dark Angel?,"db.movies.find({""title"":""The Dark Angel""}, {""released"":1})"
How many movies has Jean-Pierre Melville directed in total?,"db.movies.countDocuments({""directors"":""Jean-Pierre Melville""})"
What is the IMDb ID for the movie Dodsworth?,"db.movies.find({""title"":""Dodsworth""}, {""imdb.id"":1})"
How did the audience and critics receive the film The Cameraman?,"db.movies.find({""title"":""The Cameraman""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the rating of the movie The Immigrant ?,"db.movies.find({ ""title"": ""The Immigrant"" }, { ""rated"": 1})"
Harvest is a movie written by this person?,"db.movies.find({""title"": ""Harvest""}, {""writers"": 1})"
In which countries was the movie Red Dust produced?,"db.movies.find({""title"":""Red Dust""}, {""countries"":1})"
what was the release year of the movie The Mummy?,"db.movies.find({""title"": ""The Mummy""}, {""year"": 1})"
What is the MPAA rating of the film Pèpè le Moko?,"db.movies.find({""title"":""Pèpè le Moko""}, {""rated"":1})"
what is the film Anthony Adverse imdb rating?,"db.movies.find({""title"": ""Anthony Adverse""}, {""imdb.rating"": 1})"
who is the director for From Hand to Mouth?,"db.movies.find({""title"": ""From Hand to Mouth""}, {""directors"": 1})"
what is the genre for the film Tsirk?,"db.movies.find({""title"": ""Tsirk""}, {""genres"": 1})"
who acted in the film One Hundred Men and a Girl?,"db.movies.find({""title"": ""One Hundred Men and a Girl""}, {""cast"": 1})"
What is the full plot summary of the movie Metropolis ?,"db.movies.find({""title"": ""Metropolis""}, {""plot"": 1})"
What is the text representation of the awards won and nominations received by the movie Wonder Bar?,"db.movies.find({""title"": ""Wonder Bar""}, { ""awards.text"": 1})"
what is the movie Show People description ?,"db.movies.find({""title"": ""Show People""}, {""plot"": 1})"
Can you tell me how many movies Sergei Eisenstein directed for each year they were released?,"db.movies.aggregate([{ $match: { ""directors"": ""Sergei Eisenstein"" }},{""$group"": { ""_id"": ""$year"", ""count"": {""$sum"": 1}}}])"
What is the IMDb rating for the film The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, {""imdb.rating"": 1})"
Who is the actor that appears the most in movies directed by Darren Aronofsky?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Darren Aronofsky"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the IMDb rating for the movie The Band Concert?,"db.movies.find({""title"": ""The Band Concert""}, {""imdb.rating"": 1})"
What is the plot summary of the movie Romance ?,"db.movies.find({ ""title"": ""Romance"" }, { ""plot"": 1})"
the director of They Won't Forget was?,"db.movies.find({""title"": ""They Won't Forget""}, {""directors"": 1})"
the film City Streets starred which actors?,"db.movies.find({""title"": ""City Streets""}, {""cast"": 1})"
the film The Invisible Ray starred which actors?,"db.movies.find({""title"": ""The Invisible Ray""}, {""cast"": 1})"
What is the consensus among critics about the movie Disraeli ?,"db.movies.find({""title"": ""Disraeli""}, {""tomatoes.consensus"": 1})"
What is the Metacritic score of the movie The Trail of the Lonesome Pine ?,"db.movies.find({ ""title"": ""The Trail of the Lonesome Pine"" }, { ""metacritic"": 1})"
What is the Metacritic score of the movie Carnival in Flanders ?,"db.movies.find({ ""title"": ""Carnival in Flanders"" }, { ""metacritic"": 1})"
who wrote the screenplay for the movie Everybody's Woman?,"db.movies.aggregate([ { ""$match"": { ""title"":""Everybody's Woman""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
what is the movie The Prisoner of Shark Island about?,"db.movies.find({""title"": ""The Prisoner of Shark Island""}, {""plot"": 1})"
In what language was the movie Sherlock Jr. released?,"db.movies.find({ ""title"": ""Sherlock Jr."" }, { ""languages"": 1})"
What is the running time of Imitation of Life?,"db.movies.find({""title"":""Imitation of Life""}, {""runtime"":1})"
Can you provide a detailed summary of the movie The Music Box plot?,"db.movies.find({ ""title"": ""The Music Box"" }, { ""fullplot"": 1})"
who acted in the film Flying Down to Rio?,"db.movies.find({""title"": ""Flying Down to Rio""}, {""cast"": 1})"
what kind of film is Anna Karenina?,"db.movies.find({""title"": ""Anna Karenina""}, {""genres"": 1})"
what is the film The Saphead description ?,"db.movies.find({""title"": ""The Saphead""}, {""plot"": 1})"
Has the movie The Prisoner of Zenda won any awards?,"db.movies.find({""title"":""The Prisoner of Zenda""}, {""awards.wins"":1})"
who is the author of The New Gulliver?,"db.movies.find({""title"": ""The New Gulliver""}, {""writers"": 1})"
How does the movie Topaze rate on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Topaze"" },{ ""tomatoes.critic.meter"": 1 })"
what is the film Wife! Be Like a Rose! about in details?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""fullplot"": 1})"
what is the genre for the film The Immigrant?,"db.movies.find({""title"": ""The Immigrant""}, {""genres"": 1})"
What are the genres associated with the movie Red Dust ?,"db.movies.find({ ""title"": ""Red Dust"" }, { ""genres"": 1})"
who wrote the screenplay for the film The Four Horsemen of the Apocalypse?,"db.movies.aggregate([ { ""$match"": { ""title"":""The Four Horsemen of the Apocalypse""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
When was the information about the movie Wild and Woolly last updated?,"db.movies.find({ ""title"": ""Wild and Woolly"" }, { ""lastupdated"": 1})"
can you describe the plot of The Poor Little Rich Girl?,"db.movies.find({""title"": ""The Poor Little Rich Girl""}, {""plot"": 1})"
When was the information last updated for the movie Baby Face ?,"db.movies.find({ ""title"": ""Baby Face"" },{ ""lastupdated"": 1 })"
what is the film Love Me Tonight description ?,"db.movies.find({""title"": ""Love Me Tonight""}, {""plot"": 1})"
The Invisible Man is a movie written by this person?,"db.movies.find({""title"": ""The Invisible Man""}, {""writers"": 1})"
What is the IMDb ID for the movie Romance?,"db.movies.find({""title"":""Romance""}, {""imdb.id"":1})"
Who are the main actors/actresses in the movie The Lives of a Bengal Lancer?,"db.movies.find({""title"":""The Lives of a Bengal Lancer""}, {""cast"":1})"
What are the highest-rated movies directed by David Fincher?,"db.movies.find({""directors"": 'David Fincher', ""imdb.rating"": {""$gt"": 8.5}})"
which company produced the movie Asphalt?,"db.movies.find({""title"":""Asphalt""}, {""tomatoes.production"":1})"
What is the rating of the movie Daughter of Shanghai on IMDb?,"db.movies.find({""title"":""Daughter of Shanghai""}, {""imdb.rating"":1})"
In what year was the movie The Mummy released?,"db.movies.find({""title"":""The Mummy""}, {""year"":1})"
How many reviews have been submitted by critics for the movie The Wind?,"db.movies.find({ ""title"": ""The Wind"" }, { ""tomatoes.critic.numReviews"": 1 })"
In which countries was the movie The Crowd Roars produced?,"db.movies.find({""title"":""The Crowd Roars""}, {""countries"":1})"
How many reviews have been submitted by critics for the movie Applause?,"db.movies.find({ ""title"": ""Applause"" }, { ""tomatoes.critic.numReviews"": 1 })"
Who is the lead actor of the movie Sisters of the Gion ?,"db.movies.find({""title"": ""Sisters of the Gion""}, {""cast"":{""$slice"": 1},""title"":1})"
What is the runtime and rating for the movie 'For Heaven's Sake'?,"db.movies.find({""title"": ""For Heaven's Sake""}, {""runtime"": 1, ""rated"": 1})"
who directed Lloyd's of London?,"db.movies.find({""title"": ""Lloyd's of London""}, {""directors"": 1})"
who is the director that directed Regeneration?,"db.movies.find({""title"": ""Regeneration""}, {""directors"": 1})"
what was the release date of the film Beau Geste?,"db.movies.find({""title"": ""Beau Geste""}, {""released"": 1})"
What is the MPAA rating of the film The 3 Penny Opera?,"db.movies.find({""title"":""The 3 Penny Opera""}, {""rated"":1})"
who stars in Four Sons?,"db.movies.find({""title"": ""Four Sons""}, {""cast"": 1})"
who acted in the film The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, {""cast"": 1})"
what is the plot for the movie Storm Over Asia?,"db.movies.find({""title"": ""Storm Over Asia""}, {""plot"": 1})"
Could you give me the average rating of Alfred Hitchcock's movies that are in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Alfred Hitchcock""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
Can you provide me with a list of movies directed by Claude Chabrol that were released in the 1990s?,"db.movies.find({""directors"": 'Claude Chabrol', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
what genre of film is Two Seconds?,"db.movies.find({""title"": ""Two Seconds""}, {""genres"": 1})"
What is the runtime and rating for the movie 'Wife! Be Like a Rose!'?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""runtime"": 1, ""rated"": 1})"
What is the box office revenue for the movie 'Nosferatu'?,"db.movies.find({""title"": ""Nosferatu""}, {""tomatoes.boxOffice"": 1})"
How many reviews have been submitted for the movie Man of Aran on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Man of Aran"" },{ ""tomatoes.viewer.numReviews"": 1 })"
What is Robert Bresson's highest-rated movie on Rotten Tomatoes?,"db.movies.find({""directors"": ""Robert Bresson"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
What is the combined duration of all films that Stanley Kubrick directed?,"db.movies.aggregate([{ ""$match"": { ""directors"": ""Stanley Kubrick"" } }, { ""$group"": { ""_id"": null, ""totalRuntime"": { $sum: ""$runtime"" } } }])"
What is the rating of the movie Forbidden ?,"db.movies.find({ ""title"": ""Forbidden"" }, { ""rated"": 1})"
What is the MPAA rating of The Crowd?,"db.movies.find({""title"":""The Crowd""}, {""rated"":1})"
what was the genre of the movie Dekigokoro?,"db.movies.find({""title"": ""Dekigokoro""}, {""genres"": 1})"
what sort of film is He Who Gets Slapped?,"db.movies.find({""title"": ""He Who Gets Slapped""}, {""genres"": 1})"
How many reviews have been submitted by critics for the movie Lady Windermere's Fan?,"db.movies.find({ ""title"": ""Lady Windermere's Fan"" }, { ""tomatoes.critic.numReviews"": 1 })"
What is the MongoDB document ID of the movie Masquerade in Vienna?,"db.movies.find({""title"": ""Masquerade in Vienna""}, {""_id"": 1})"
who is the writer of Salomè?,"db.movies.find({""title"": ""Salomè""}, {""writers"": 1})"
who's the director of Nanook of the North?,"db.movies.find({""title"": ""Nanook of the North""}, {""directors"": 1})"
What languages are spoken in the movie Four Sons ?,"db.movies.find({""title"": ""Four Sons""}, { ""languages"": 1})"
which company produced the film Flash Gordon?,"db.movies.find({""title"":""Flash Gordon""}, {""tomatoes.production"":1})"
what was the release year of Pandora's Box?,"db.movies.find({""title"": ""Pandora's Box""}, {""year"": 1})"
What is the rating of the movie Two Seconds on IMDb?,"db.movies.find({""title"":""Two Seconds""}, {""imdb.rating"":1})"
how many awards did the film Elephant Boy win?,"db.movies.find({""title"":""Elephant Boy""}, {""awards.wins"":1})"
which company produced the movie Payment Deferred?,"db.movies.find({""title"":""Payment Deferred""}, {""tomatoes.production"":1})"
what is Grass: A Nation's Battle for Life imdb rating?,"db.movies.find({""title"": ""Grass: A Nation's Battle for Life""}, {""imdb.rating"": 1})"
"the movie The Strong Man, was written by who?","db.movies.find({""title"": ""The Strong Man""}, {""writers"": 1})"
Can you provide a detailed summary of the movie Gertie the Dinosaur plot?,"db.movies.find({ ""title"": ""Gertie the Dinosaur"" }, { ""fullplot"": 1})"
What is the prevailing movie genre in Alfred Hitchcock's directed films?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Alfred Hitchcock"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
In what year was the movie Wild and Woolly released ?,"db.movies.find({ ""title"": ""Wild and Woolly"" }, { ""year"": 1})"
what is Skippy about in details?,"db.movies.find({""title"": ""Skippy""}, {""fullplot"": 1})"
which person wrote the movie è Nous la Libertè?,"db.movies.find({""title"": ""è Nous la Libertè""}, {""writers"": 1})"
what is The Thief of Bagdad imdb rating?,"db.movies.find({""title"": ""The Thief of Bagdad""}, {""imdb.rating"": 1})"
"What is the rating of the movie Steamboat Bill, Jr. according to viewers on Rotten Tomatoes?","db.movies.find({""title"": ""Steamboat Bill, Jr.""}, {""tomatoes.viewer.rating"": 1})"
What is the movie The Crowd about? Can you provide a brief summary?,"db.movies.find({""title"":""The Crowd""}, {""plot"":1})"
What is the imdbID and genre of the movie 'Payment Deferred'?,"db.movies.find({""title"": ""Payment Deferred""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
the film The Ace of Hearts starred which actors?,"db.movies.find({""title"": ""The Ace of Hearts""}, {""cast"": 1})"
In what year was the movie Broken Blossoms or The Yellow Man and the Girl released ?,"db.movies.find({ ""title"": ""Broken Blossoms or The Yellow Man and the Girl"" }, { ""year"": 1})"
What is the Tomatometer score of the movie The Public Enemy ?,"db.movies.find({ ""title"": ""The Public Enemy"" },{ ""tomatoes.critic.meter"": 1 })"
which company produced the film Night Must Fall?,"db.movies.find({""title"":""Night Must Fall""}, {""tomatoes.production"":1})"
Which movies did Gus Van Sant direct?,"db.movies.find({""directors"": ""Gus Van Sant""},{""title"":1})"
What is the movie Men Without Women rating?,"db.movies.find({""title"":""Men Without Women""}, {""rated"":1})"
What is the production company behind the movie x?,"db.movies.find({""title"": ""Storm Over Asia""}, { ""tomatoes.production"": 1})"
what was the release year of In Old Chicago?,"db.movies.find({""title"": ""In Old Chicago""}, {""year"": 1})"
who was the writer of The Story of Louis Pasteur?,"db.movies.find({""title"": ""The Story of Louis Pasteur""}, {""writers"": 1})"
Who is the lead actor of the movie The Wedding Night ?,"db.movies.find({""title"": ""The Wedding Night""}, {""cast"":{""$slice"": 1},""title"":1})"
which person directed College?,"db.movies.find({""title"": ""College""}, {""directors"": 1})"
When was the movie The Informer released?,"db.movies.find({""title"":""The Informer""}, {""released"":1})"
What is the name of the director and cast for the movie 'My Man Godfrey'?,"db.movies.find({""title"": ""My Man Godfrey""}, {""directors"": 1, ""cast"": 1, ""_id"": 0})"
What is the rating of the movie Nosferatu on IMDb?,"db.movies.find({""title"":""Nosferatu""}, {""imdb.rating"":1})"
When was the information last updated for the movie The Gay Divorcee ?,"db.movies.find({ ""title"": ""The Gay Divorcee"" },{ ""lastupdated"": 1 })"
who was the movie King Kong written by?,"db.movies.find({""title"": ""King Kong""}, {""writers"": 1})"
What is the meter score of the movie Cops according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Cops""}, {""tomatoes.viewer.meter"": 1})"
What is the critical reception of the movie Children in the Wind?,"db.movies.find({""title"":""Children in the Wind""}, {""tomatoes.critic"":1})"
What is the plot summary of the movie The Black Cat ?,"db.movies.find({ ""title"": ""The Black Cat"" }, { ""plot"": 1})"
What is the rating of the movie The Big House on IMDb?,"db.movies.find({""title"":""The Big House""}, {""imdb.rating"":1})"
which person wrote the movie Battling Butler?,"db.movies.find({""title"": ""Battling Butler""}, {""writers"": 1})"
What is the production company of Lenin in October?,"db.movies.find({""title"":""Lenin in October""}, {""tomatoes.production"":1})"
How many votes did the movie The Navigator receive on IMDB?,"db.movies.find({""title"": ""The Navigator""}, { ""imdb.votes"": 1})"
What is the viewer rating for the movie Foolish Wives on Rotten Tomatoes?,"db.movies.find({""title"":""Foolish Wives""}, {""tomatoes.viewer.rating"":1})"
what is the plot for the movie The Thin Man?,"db.movies.find({""title"": ""The Thin Man""}, {""plot"": 1})"
Can you provide more information about the IMDb rating for the movie One Hundred Men and a Girl ?,"db.movies.find({""title"":""One Hundred Men and a Girl""}, {""imdb"":1})"
who was the writer of the film Romance?,"db.movies.find({""title"": ""Romance""}, {""writers"": 1})"
What was the release date for the movie Der Kaiser von Kalifornien?,"db.movies.find({""title"":""Der Kaiser von Kalifornien""}, {""released"":1})"
which company produced the movie The Lower Depths?,"db.movies.find({""title"":""The Lower Depths""}, {""tomatoes.production"":1})"
who is the writer of Man of Aran?,"db.movies.find({""title"": ""Man of Aran""}, {""writers"": 1})"
what is the genre of Stage Door?,"db.movies.find({""title"": ""Stage Door""}, {""genres"": 1})"
what is the plot for the movie The Kid?,"db.movies.find({""title"": ""The Kid""}, {""plot"": 1})"
what is the full plot for the film Camille?,"db.movies.find({""title"": ""Camille""}, {""fullplot"": 1})"
what is the film Broken Lullaby imdb rating?,"db.movies.find({""title"": ""Broken Lullaby""}, {""imdb.rating"": 1})"
How many reviews have been submitted for the movie Wonder Bar on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Wonder Bar"" },{ ""tomatoes.viewer.numReviews"": 1 })"
who is listed as director for Our Hospitality?,"db.movies.find({""title"": ""Our Hospitality""}, {""directors"": 1})"
who was The Invisible Ray written by?,"db.movies.find({""title"": ""The Invisible Ray""}, {""writers"": 1})"
Which movie genre does Darren Aronofsky mainly specialize in as a director?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Darren Aronofsky"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what are the genres directed by Ingmar Bergman?,"db.movies.distinct(""genres"", { ""directors"": ""Ingmar Bergman"" })"
How many audience reviews have been submitted for the movie Fury?,"db.movies.find({ ""title"": ""Fury"" }, { ""tomatoes.viewer.numReviews"": 1 })"
What is the audience rating of the movie The Phantom of the Opera ?,"db.movies.find({ ""title"": ""The Phantom of the Opera"" },{ ""tomatoes.viewer.rating"": 1 })"
who produced the film A Free Soul?,"db.movies.find({""title"":""A Free Soul""}, {""tomatoes.production"":1})"
who produced Westfront 1918?,"db.movies.find({""title"":""Westfront 1918""}, {""tomatoes.production"":1})"
how many awards did the movie The Thin Man win?,"db.movies.find({""title"":""The Thin Man""}, {""awards.wins"":1})"
who directed the film A Damsel in Distress?,"db.movies.find({""title"": ""A Damsel in Distress""}, {""directors"": 1})"
Who is the lead actress of the movie The Birth of a Nation ?,"db.movies.find({""title"": ""The Birth of a Nation""}, {""cast"":{""$slice"": 1},""title"":1})"
How many reviews have been submitted by critics for the movie Broken Lullaby?,"db.movies.find({ ""title"": ""Broken Lullaby"" }, { ""tomatoes.critic.numReviews"": 1 })"
What is the movie Lenin in October rating?,"db.movies.find({""title"":""Lenin in October""}, {""rated"":1})"
"the film The Pearls of the Crown,  was written by who?","db.movies.find({""title"": ""The Pearls of the Crown""}, {""writers"": 1})"
who is the director that directed Zoo in Budapest?,"db.movies.find({""title"": ""Zoo in Budapest""}, {""directors"": 1})"
"What is the general rating of Francois Truffaut's films in the database, calculated as an average?","db.movies.aggregate([{""$match"": {""directors"":""Francois Truffaut""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
What is the meter score of the movie Freaks according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Freaks""}, {""tomatoes.viewer.meter"": 1})"
Tol'able David is a film written by this person?,"db.movies.find({""title"": ""Tol'able David""}, {""writers"": 1})"
In which countries was the movie Lonesome produced?,"db.movies.find({""title"":""Lonesome""}, {""countries"":1})"
who acted in the film The Divorcee?,"db.movies.find({""title"": ""The Divorcee""}, {""cast"": 1})"
What is the MPAA rating of the movie Who Killed Cock Robin??,"db.movies.find({""title"":""Who Killed Cock Robin?""}, {""rated"":1})"
the movie Going Hollywood was directed by who?,"db.movies.find({""title"": ""Going Hollywood""}, {""directors"": 1})"
"the movie Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics, was written by who?","db.movies.find({""title"": ""Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics""}, {""writers"": 1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Naughty Marietta?,"db.movies.find({""title"": ""Naughty Marietta""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
Can you provide more information about the languages spoken in the movie The Wind ?,"db.movies.find({""title"":""The Wind""}, {""languages"":1})"
what kind of film is Daughter of Shanghai?,"db.movies.find({""title"": ""Daughter of Shanghai""}, {""genres"": 1})"
Can you give me a brief summary of the movie Robin Hood plot?,"db.movies.find({""title"":""Robin Hood""}, {""plot"":1})"
How many viewer reviews did the movie The Lives of a Bengal Lancer receive on Rotten Tomatoes?,"db.movies.find({""title"":""The Lives of a Bengal Lancer""}, {""tomatoes.viewer.numReviews"":1})"
How many viewer reviews did the movie The Wedding March receive on Rotten Tomatoes?,"db.movies.find({""title"":""The Wedding March""}, {""tomatoes.viewer.numReviews"":1})"
How did the audience and critics receive the film The Lost Patrol?,"db.movies.find({""title"":""The Lost Patrol""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
what was the release date of the film Lost Horizon?,"db.movies.find({""title"": ""Lost Horizon""}, {""released"": 1})"
Who are the main actors in Three Smart Girls ?,"db.movies.find({ ""title"": ""Three Smart Girls"" }, { ""cast"": 1})"
How does the movie Snow White and the Seven Dwarfs rate on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Snow White and the Seven Dwarfs"" },{ ""tomatoes.critic.meter"": 1 })"
what genre is the movie It Happened One Night?,"db.movies.find({""title"": ""It Happened One Night""}, {""genres"": 1})"
who is the writer of She?,"db.movies.find({""title"": ""She""}, {""writers"": 1})"
Four Sons is a movie written by this person?,"db.movies.find({""title"": ""Four Sons""}, {""writers"": 1})"
who was the writer of the movie The Unknown?,"db.movies.find({""title"": ""The Unknown""}, {""writers"": 1})"
which person wrote the movie Disraeli?,"db.movies.find({""title"": ""Disraeli""}, {""writers"": 1})"
what kind of movie is The Hurricane?,"db.movies.find({""title"": ""The Hurricane""}, {""genres"": 1})"
What are the genres this movie A Damsel in Distress belongs to?,"db.movies.find({""title"":""A Damsel in Distress""}, {""genres"":1})"
What is the MongoDB document ID of the movie Applause?,"db.movies.find({""title"": ""Applause""}, {""_id"": 1})"
who starred in Foolish Wives?,"db.movies.find({""title"": ""Foolish Wives""}, {""cast"": 1})"
what year was the movie Show People released?,"db.movies.find({""title"": ""Show People""}, {""year"": 1})"
who wrote the screenplay for the movie A Day in the Country?,"db.movies.aggregate([ { ""$match"": { ""title"":""A Day in the Country""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
What is the audience rating of the movie The Jazz Singer ?,"db.movies.find({ ""title"": ""The Jazz Singer"" },{ ""tomatoes.viewer.rating"": 1 })"
what is the full plot for the film Zero for Conduct?,"db.movies.find({""title"": ""Zero for Conduct""}, {""fullplot"": 1})"
Could you tell me the typical rating of Claude Chabrol movies in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Claude Chabrol""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
