Questions,Queries
what sort of film is The Lost World?,"db.movies.find({""title"": ""The Lost World""}, {""genres"": 1})"
What is the number of movies Terrence Malick released per year?,"db.movies.aggregate([{ $match: { ""directors"": ""Terrence Malick"" }},{""$group"": { ""_id"": ""$year"", ""count"": {""$sum"": 1}}}])"
what is L'opèra de quat'sous imdb rating?,"db.movies.find({""title"": ""L'opèra de quat'sous""}, {""imdb.rating"": 1})"
What is the IMDB rating of the movie Napoleon ?,"db.movies.find({""title"": ""Napoleon""}, { ""imdb.rating"": 1})"
what are the genres directed by Luchino Visconti?,"db.movies.distinct(""genres"", { ""directors"": ""Luchino Visconti"" })"
Which films directed by David Fincher have the highest ratings?,"db.movies.find({""directors"": 'David Fincher', ""imdb.rating"": {""$gt"": 8.5}})"
Was the movie Everybody's Woman well received by audiences?,"db.movies.find({""title"":""Everybody's Woman""}, {""tomatoes.viewer"":1})"
What is the box office revenue for the movie 'King Kong'?,"db.movies.find({""title"": ""King Kong""}, {""tomatoes.boxOffice"": 1})"
who stars in the movie Sunrise?,"db.movies.find({""title"": ""Sunrise""}, {""cast"": 1})"
In what language was the movie The New Gulliver released?,"db.movies.find({ ""title"": ""The New Gulliver"" }, { ""languages"": 1})"
What is the running time of the film Flying Down to Rio?,"db.movies.find({""title"":""Flying Down to Rio""}, {""runtime"":1})"
how has Wild and Woolly been recieved by critics and audience?,"db.movies.find({""title"":""Wild and Woolly""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the viewer rating for the movie è Nous la Libertè on Rotten Tomatoes?,"db.movies.find({""title"":""è Nous la Libertè""}, {""tomatoes.viewer.rating"":1})"
what is Lonesome description?,"db.movies.find({""title"": ""Lonesome""}, {""plot"": 1})"
What is the rating of the movie The Scarlet Empress on IMDb?,"db.movies.find({""title"":""The Scarlet Empress""}, {""imdb.rating"":1})"
what is Three Ages imdb rating?,"db.movies.find({""title"": ""Three Ages""}, {""imdb.rating"": 1})"
When was the movie Regeneration released in theaters?,"db.movies.find({""title"": ""Regeneration""}, {""released"": 1})"
What is the production company of A Free Soul?,"db.movies.find({""title"":""A Free Soul""}, {""tomatoes.production"":1})"
What is the box office revenue of the movie Toni in dollars?,"db.movies.find({""title"": ""Toni""}, {""tomatoes.boxOffice"": 1})"
what is the movie The Ace of Hearts description ?,"db.movies.find({""title"": ""The Ace of Hearts""}, {""plot"": 1})"
What is the meter score of the movie Little Miss Marker according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Little Miss Marker""}, {""tomatoes.viewer.meter"": 1})"
how has Theodora Goes Wild been recieved by critics and audience?,"db.movies.find({""title"":""Theodora Goes Wild""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
what kind of film is City Streets?,"db.movies.find({""title"": ""City Streets""}, {""genres"": 1})"
what is the full plot for the film Lonesome?,"db.movies.find({""title"": ""Lonesome""}, {""fullplot"": 1})"
what is the film Wild Boys of the Road about in details?,"db.movies.find({""title"": ""Wild Boys of the Road""}, {""fullplot"": 1})"
what is the movie San Francisco imdb rating?,"db.movies.find({""title"": ""San Francisco""}, {""imdb.rating"": 1})"
How long is the movie The Life of Emile Zola in minutes?,"db.movies.find({""title"":""The Life of Emile Zola""}, {""runtime"":1})"
What is the box office revenue for the movie 'I Am a Fugitive from a Chain Gang'?,"db.movies.find({""title"": ""I Am a Fugitive from a Chain Gang""}, {""tomatoes.boxOffice"": 1})"
how has Dante's Inferno been recieved by critics and audience?,"db.movies.find({""title"":""Dante's Inferno""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the production company behind the movie x?,"db.movies.find({""title"": ""Dr. Jekyll and Mr. Hyde""}, { ""tomatoes.production"": 1})"
Who is the lead actor of the movie Le grand jeu ?,"db.movies.find({""title"": ""Le grand jeu""}, {""cast"":{""$slice"": 1},""title"":1})"
What is the text description of the movie Skippy awards?,"db.movies.find({""title"":""Skippy""}, {""awards.text"":1})"
who acted in the film Swing Time?,"db.movies.find({""title"": ""Swing Time""}, {""cast"": 1})"
who stars in the movie Men Without Women?,"db.movies.find({""title"": ""Men Without Women""}, {""cast"": 1})"
What are the countries associated with the movie The Informer ?,"db.movies.find({""title"": ""The Informer""}, {""countries"": 1})"
who wrote the screenplay for Alice Adams?,"db.movies.aggregate([ { ""$match"": { ""title"":""Alice Adams""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
"Has the film Clash of the Wolves won any awards? If so, which ones?","db.movies.find({""title"":""Clash of the Wolves"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
can you describe the plot of Moscow Laughs?,"db.movies.find({""title"": ""Moscow Laughs""}, {""plot"": 1})"
How did the audience and critics receive the movie A Day in the Country?,"db.movies.find({""title"":""A Day in the Country""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
what year was the movie High and Dizzy released?,"db.movies.find({""title"": ""High and Dizzy""}, {""year"": 1})"
In what year was the movie Carnival in Flanders released ?,"db.movies.find({ ""title"": ""Carnival in Flanders"" }, { ""year"": 1})"
"Has the film Rembrandt won any awards? If so, which ones?","db.movies.find({""title"":""Rembrandt"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
How many awards did the movie win Lost Horizon ?,"db.movies.find({ ""title"": ""Lost Horizon"" },{ ""awards.wins"": 1 })"
What type of media is Ella Cinders?,"db.movies.find({ ""title"": ""Ella Cinders"" }, { ""type"": 1})"
What is the box office revenue of the movie The Blue Bird ?,"db.movies.find({""title"": ""The Blue Bird""}, { ""tomatoes.boxOffice"": 1})"
What is the highest-rated movie directed by Woody Allen on rotten tomatoes?,"db.movies.find({""directors"": ""Woody Allen"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
the director of Greed was?,"db.movies.find({""title"": ""Greed""}, {""directors"": 1})"
What is the viewer rating for the movie Broadway Bill on Rotten Tomatoes?,"db.movies.find({""title"":""Broadway Bill""}, {""tomatoes.viewer.rating"":1})"
who starred in the movie Dames?,"db.movies.find({""title"": ""Dames""}, {""cast"": 1})"
what sort of movie is Everybody's Woman?,"db.movies.find({""title"": ""Everybody's Woman""}, {""genres"": 1})"
who produced The Broadway Melody?,"db.movies.find({""title"":""The Broadway Melody""}, {""tomatoes.production"":1})"
What is the production company behind the movie The Gay Divorcee ?,"db.movies.find({""title"": ""The Gay Divorcee""}, {""tomatoes.production"": 1})"
Has the movie Dr. Jekyll and Mr. Hyde won any awards?,"db.movies.find({""title"":""Dr. Jekyll and Mr. Hyde""}, {""awards.wins"":1})"
"Has the movie The Great Train Robbery won any awards? If so, which ones?","db.movies.find({""title"":""The Great Train Robbery"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
What is the website associated with the movie A Damsel in Distress on Rotten Tomatoes?,"db.movies.find({""title"": ""A Damsel in Distress""}, {""tomatoes.website"": 1})"
How many nominations did the movie Harvest receive?,"db.movies.find({""title"":""Harvest""}, {""awards.nominations"":1})"
"What is the name of the director and cast for the movie 'I Was Born, But...'?","db.movies.find({""title"": ""I Was Born, But...""}, {""directors"": 1, ""cast"": 1, ""_id"": 0})"
what was the genre of the movie King of Jazz?,"db.movies.find({""title"": ""King of Jazz""}, {""genres"": 1})"
What is the meter score of the movie Three Ages according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Three Ages""}, {""tomatoes.viewer.meter"": 1})"
Which actor has the greatest number of roles in Joel Coen's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Joel Coen"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what type of film is The Story of Louis Pasteur?,"db.movies.find({""title"": ""The Story of Louis Pasteur""}, {""genres"": 1})"
what genre of movie is Black Legion?,"db.movies.find({""title"": ""Black Legion""}, {""genres"": 1})"
what genre is the film Tabu: A Story of the South Seas?,"db.movies.find({""title"": ""Tabu: A Story of the South Seas""}, {""genres"": 1})"
Who are the actors in the movie A Night at the Opera?,"db.movies.find({""title"":""A Night at the Opera""}, {""cast"":1})"
Has the movie Cavalcade won any awards?,"db.movies.find({""title"":""Cavalcade""}, {""awards.wins"":1})"
how has The Prince and the Pauper been recieved by critics and audience?,"db.movies.find({""title"":""The Prince and the Pauper""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
who are the actors in the film One Hundred Men and a Girl?,"db.movies.find({""title"": ""One Hundred Men and a Girl""}, {""cast"": 1})"
What languages are spoken in the movie Traffic in Souls?,"db.movies.find({""title"":""Traffic in Souls""}, {""languages"":1})"
What is the imdbID and year of release for the movie with a title of 'Murders in the Rue Morgue'?,"db.movies.find({""title"": ""Murders in the Rue Morgue""}, {""imdb.id"": 1, ""year"": 1, ""_id"": 0})"
what is the full plot for the film Moscow Laughs?,"db.movies.find({""title"": ""Moscow Laughs""}, {""fullplot"": 1})"
who wrote Becky Sharp?,"db.movies.find({""title"": ""Becky Sharp""}, {""writers"": 1})"
Who are the writers of the movie Intolerance: Love's Struggle Throughout the Ages ?,"db.movies.find({""title"": ""Intolerance: Love's Struggle Throughout the Ages""}, { ""writers"": 1})"
When was the information about the movie He Who Gets Slapped last updated?,"db.movies.find({ ""title"": ""He Who Gets Slapped"" }, { ""lastupdated"": 1})"
Can you provide me with a list of movies directed by Ethan Coen that were released in the 1990s?,"db.movies.find({""directors"": 'Ethan Coen', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
who was The Unknown written by?,"db.movies.find({""title"": ""The Unknown""}, {""writers"": 1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie Swing Time ?,"db.movies.find({""title"":""Swing Time""}, {""tomatoes.viewer.meter"":1})"
What is the name of the director and cast for the movie 'Under the Roofs of Paris'?,"db.movies.find({""title"": ""Under the Roofs of Paris""}, {""directors"": 1, ""cast"": 1, ""_id"": 0})"
who was the writer of The Music Box?,"db.movies.find({""title"": ""The Music Box""}, {""writers"": 1})"
who's the director of Tsirk?,"db.movies.find({""title"": ""Tsirk""}, {""directors"": 1})"
what genre is the film High and Dizzy?,"db.movies.find({""title"": ""High and Dizzy""}, {""genres"": 1})"
the film Regeneration starred who?,"db.movies.find({""title"": ""Regeneration""}, {""cast"": 1})"
Can you give me a brief summary of the movie Becky Sharp plot?,"db.movies.find({""title"":""Becky Sharp""}, {""plot"":1})"
What is the runtime of the movie A Day in the Country ?,"db.movies.find({""title"": ""A Day in the Country""}, { ""runtime"": 1})"
what year was the movie She released?,"db.movies.find({""title"": ""She""}, {""year"": 1})"
how many awards did the film Gertie the Dinosaur win?,"db.movies.find({""title"":""Gertie the Dinosaur""}, {""awards.wins"":1})"
How long is the runtime of the movie A Story of Floating Weeds ?,"db.movies.find({""title"":""A Story of Floating Weeds""}, {""runtime"":1})"
What are the genres this movie Elephant Boy belongs to?,"db.movies.find({""title"":""Elephant Boy""}, {""genres"":1})"
who was the writer of the movie The Charge of the Light Brigade?,"db.movies.find({""title"": ""The Charge of the Light Brigade""}, {""writers"": 1})"
what genre is Masquerade in Vienna?,"db.movies.find({""title"": ""Masquerade in Vienna""}, {""genres"": 1})"
can you describe the plot of Ben-Hur: A Tale of the Christ?,"db.movies.find({""title"": ""Ben-Hur: A Tale of the Christ""}, {""plot"": 1})"
who starred in Frankenstein?,"db.movies.find({""title"": ""Frankenstein""}, {""cast"": 1})"
Can you provide more information about the languages spoken in the movie Ella Cinders ?,"db.movies.find({""title"":""Ella Cinders""}, {""languages"":1})"
what is the plot for the movie This Is My Affair?,"db.movies.find({""title"": ""This Is My Affair""}, {""plot"": 1})"
What is the production company of Scarface?,"db.movies.find({""title"":""Scarface""}, {""tomatoes.production"":1})"
what was the genre of the movie A Star Is Born?,"db.movies.find({""title"": ""A Star Is Born""}, {""genres"": 1})"
How many reviews have been submitted by critics for the movie Maria Chapdelaine?,"db.movies.find({ ""title"": ""Maria Chapdelaine"" }, { ""tomatoes.critic.numReviews"": 1 })"
How many votes does the movie Salomè have on IMDb?,"db.movies.find({""title"":""Salomè""}, {""imdb.votes"":1})"
Storm Over Asia was directed by who?,"db.movies.find({""title"": ""Storm Over Asia""}, {""directors"": 1})"
"what is the film Steamboat Bill, Jr. description ?","db.movies.find({""title"": ""Steamboat Bill, Jr.""}, {""plot"": 1})"
What is the production company behind the movie Flash Gordon ?,"db.movies.find({""title"": ""Flash Gordon""}, { ""tomatoes.production"": 1})"
can you describe the plot of Man with a Movie Camera?,"db.movies.find({""title"": ""Man with a Movie Camera""}, {""plot"": 1})"
the movie Popeye the Sailor Meets Sindbad the Sailor was directed by who?,"db.movies.find({""title"": ""Popeye the Sailor Meets Sindbad the Sailor""}, {""directors"": 1})"
What is the ID of the movie Lenin in October on IMDB?,"db.movies.find({""title"": ""Lenin in October""}, {""imdb.id"": 1})"
who is the director for Forbidden?,"db.movies.find({""title"": ""Forbidden""}, {""directors"": 1})"
what is the film One Hundred Men and a Girl about?,"db.movies.find({""title"": ""One Hundred Men and a Girl""}, {""plot"": 1})"
who directed Ella Cinders?,"db.movies.find({""title"": ""Ella Cinders""}, {""directors"": 1})"
who wrote the film Ruggles of Red Gap?,"db.movies.find({""title"": ""Ruggles of Red Gap""}, {""writers"": 1})"
What is the MPAA rating of Three Ages?,"db.movies.find({""title"":""Three Ages""}, {""rated"":1})"
what is the full plot for The Man Who Knew Too Much?,"db.movies.find({""title"": ""The Man Who Knew Too Much""}, {""fullplot"": 1})"
what is Red Dust imdb rating?,"db.movies.find({""title"": ""Red Dust""}, {""imdb.rating"": 1})"
who produced Cavalcade?,"db.movies.find({""title"":""Cavalcade""}, {""tomatoes.production"":1})"
What is the chief film category that Wes Anderson's directed movies are classified under?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Wes Anderson"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the box office revenue of the movie Seven Chances in dollars?,"db.movies.find({""title"": ""Seven Chances""}, {""tomatoes.boxOffice"": 1})"
What is the runtime and rating for the movie 'Come and Get It'?,"db.movies.find({""title"": ""Come and Get It""}, {""runtime"": 1, ""rated"": 1})"
What is the MongoDB document ID of the movie The Champ?,"db.movies.find({""title"": ""The Champ""}, {""_id"": 1})"
Could you tell me which Roberto Rossellini-directed film has the longest running time?,"db.movies.find({""directors"":""Roberto Rossellini""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": -1}).limit(1)"
what was the release date of the film She Done Him Wrong?,"db.movies.find({""title"": ""She Done Him Wrong""}, {""released"": 1})"
What is the text representation of the awards won and nominations received by the movie The Hurricane?,"db.movies.find({""title"": ""The Hurricane""}, { ""awards.text"": 1})"
What is the rating of the movie My Man Godfrey on IMDb?,"db.movies.find({""title"":""My Man Godfrey""}, {""imdb.rating"":1})"
What is the box office revenue of the movie For Heaven's Sake in dollars?,"db.movies.find({""title"": ""For Heaven's Sake""}, {""tomatoes.boxOffice"": 1})"
what was the release year of the film The Big House?,"db.movies.find({""title"": ""The Big House""}, {""year"": 1})"
who produced the film The Man Who Could Work Miracles?,"db.movies.find({""title"":""The Man Who Could Work Miracles""}, {""tomatoes.production"":1})"
What is the meter score of the movie The Prisoner of Zenda according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""The Prisoner of Zenda""}, {""tomatoes.viewer.meter"": 1})"
what was the release year of Tarzan and His Mate?,"db.movies.find({""title"": ""Tarzan and His Mate""}, {""year"": 1})"
what kind of film is Wife! Be Like a Rose!?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""genres"": 1})"
Which actor has the highest number of appearances in movies directed by Roberto Rossellini?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Roberto Rossellini"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
How did the audience and critics receive the film The Divine Lady?,"db.movies.find({""title"":""The Divine Lady""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
The Awful Truth is a film written by this person?,"db.movies.find({""title"": ""The Awful Truth""}, {""writers"": 1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Nanook of the North?,"db.movies.find({""title"": ""Nanook of the North""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
What is the audience rating of the movie It ?,"db.movies.find({ ""title"": ""It"" },{ ""tomatoes.viewer.rating"": 1 })"
What was the release date for the movie Twentieth Century?,"db.movies.find({""title"":""Twentieth Century""}, {""released"":1})"
the director of The Big House was?,"db.movies.find({""title"": ""The Big House""}, {""directors"": 1})"
who is listed as director for Scarface?,"db.movies.find({""title"": ""Scarface""}, {""directors"": 1})"
Who is the director of the movie The Charge of the Light Brigade?,"db.movies.find({""title"": ""The Charge of the Light Brigade""}, { ""directors"": 1})"
who is the director of Metropolis?,"db.movies.find({""title"": ""Metropolis""}, {""directors"": 1})"
what is the full plot for the movie Scarface?,"db.movies.find({""title"": ""Scarface""}, {""fullplot"": 1})"
What is the rating of the movie The Divine Lady according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""The Divine Lady""}, {""tomatoes.viewer.rating"": 1})"
who are the actors in the movie Three Little Pigs?,"db.movies.find({""title"": ""Three Little Pigs""}, {""cast"": 1})"
How did the audience and critics receive the movie Metropolis?,"db.movies.find({""title"":""Metropolis""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
who is the author of Earth?,"db.movies.find({""title"": ""Earth""}, {""writers"": 1})"
who is the writer of Captains Courageous?,"db.movies.find({""title"": ""Captains Courageous""}, {""writers"": 1})"
Can you provide more information about the IMDb rating for the movie Applause ?,"db.movies.find({""title"":""Applause""}, {""imdb"":1})"
How long is the movie Cleopatra in minutes?,"db.movies.find({""title"":""Cleopatra""}, {""runtime"":1})"
what is the movie Viva Villa! imdb rating?,"db.movies.find({""title"": ""Viva Villa!""}, {""imdb.rating"": 1})"
what was the release date of the film One Week?,"db.movies.find({""title"": ""One Week""}, {""released"": 1})"
"who is listed as director for Laugh, Clown, Laugh?","db.movies.find({""title"": ""Laugh, Clown, Laugh""}, {""directors"": 1})"
Could you inform me of the total runtime of all Louis Malle-directed movies?,"db.movies.aggregate([{ ""$match"": { ""directors"": ""Louis Malle"" } }, { ""$group"": { ""_id"": null, ""totalRuntime"": { $sum: ""$runtime"" } } }])"
What are some of the types of movies that David Lynch has directed?,"db.movies.distinct(""genres"", { ""directors"": ""David Lynch"" })"
the film The Big Parade was directed by who?,"db.movies.find({""title"": ""The Big Parade""}, {""directors"": 1})"
What is the imdbID and genre of the movie 'Queen Christina'?,"db.movies.find({""title"": ""Queen Christina""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
What is the website associated with the movie The Devil Is a Woman on Rotten Tomatoes?,"db.movies.find({""title"": ""The Devil Is a Woman""}, {""tomatoes.website"": 1})"
who was the movie The Barretts of Wimpole Street written by?,"db.movies.find({""title"": ""The Barretts of Wimpole Street""}, {""writers"": 1})"
What is the language of the movie Duck Soup?,"db.movies.find({""title"":""Duck Soup""}, {""languages"":1})"
Could you tell me the typical rating of Eric Rohmer movies in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Eric Rohmer""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
What is the imdbID and genre of the movie 'Robin Hood'?,"db.movies.find({""title"": ""Robin Hood""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
Was the movie Clash of the Wolves well received by audiences?,"db.movies.find({""title"":""Clash of the Wolves""}, {""tomatoes.viewer"":1})"
what was the release year of the movie In Old Chicago?,"db.movies.find({""title"": ""In Old Chicago""}, {""year"": 1})"
Who is the lead actress of the movie The Black Pirate ?,"db.movies.find({""title"": ""The Black Pirate""}, {""cast"":{""$slice"": 1},""title"":1})"
what was the release date of Dodsworth?,"db.movies.find({""title"": ""Dodsworth""}, {""released"": 1})"
who is the author of Dames?,"db.movies.find({""title"": ""Dames""}, {""writers"": 1})"
What is the running time of Dekigokoro?,"db.movies.find({""title"":""Dekigokoro""}, {""runtime"":1})"
"the film The Prince and the Pauper,  was written by who?","db.movies.find({""title"": ""The Prince and the Pauper""}, {""writers"": 1})"
How many reviews did the movie Pandora's Box receive on Rotten Tomatoes?,"db.movies.find({""title"":""Pandora's Box""}, {""tomatoes.viewer.numReviews"": 1,""tomatoes.critic.numReviews"":1})"
Who are the actors in the movie The Edge of the World?,"db.movies.find({""title"":""The Edge of the World""}, {""cast"":1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Beau Geste?,"db.movies.find({""title"": ""Beau Geste""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
Which actor has the highest count of appearances in Coen Brothers's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Coen Brothers"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the overall length of all movies that Francis Ford Coppola has directed?,"db.movies.aggregate([{ ""$match"": { ""directors"": ""Francis Ford Coppola"" } }, { ""$group"": { ""_id"": null, ""totalRuntime"": { $sum: ""$runtime"" } } }])"
who wrote the screenplay for the film The Broadway Melody?,"db.movies.aggregate([ { ""$match"": { ""title"":""The Broadway Melody""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
who was the writer of The Iron Horse?,"db.movies.find({""title"": ""The Iron Horse""}, {""writers"": 1})"
who are the actors in the movie The Spanish Earth?,"db.movies.find({""title"": ""The Spanish Earth""}, {""cast"": 1})"
which person directed 42nd Street?,"db.movies.find({""title"": ""42nd Street""}, {""directors"": 1})"
How many award nominations did the movie receive Pèpè le Moko ?,"db.movies.find({ ""title"": ""Pèpè le Moko"" },{ ""awards.nominations"": 1 })"
Which actor has the highest count of appearances in Terrence Malick's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Terrence Malick"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what genre of movie is The Fall of the House of Usher?,"db.movies.find({""title"": ""The Fall of the House of Usher""}, {""genres"": 1})"
who starred in the film The Mummy?,"db.movies.find({""title"": ""The Mummy""}, {""cast"": 1})"
what is the full plot for the film The Iron Horse?,"db.movies.find({""title"": ""The Iron Horse""}, {""fullplot"": 1})"
what sort of movie is Swing Time?,"db.movies.find({""title"": ""Swing Time""}, {""genres"": 1})"
What is the number of movies Martin Scorsese released per year?,"db.movies.aggregate([{ $match: { ""directors"": ""Martin Scorsese"" }},{""$group"": { ""_id"": ""$year"", ""count"": {""$sum"": 1}}}])"
What is the website associated with the movie Broadway Melody of 1936 on Rotten Tomatoes?,"db.movies.find({""title"": ""Broadway Melody of 1936""}, {""tomatoes.website"": 1})"
"In Oliver Stone's directed movies, which actor has made the most appearances?","db.movies.aggregate([ { ""$match"": { ""directors"": ""Oliver Stone"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
which company produced the movie The Pearls of the Crown?,"db.movies.find({""title"":""The Pearls of the Crown""}, {""tomatoes.production"":1})"
Who is the lead actor of the movie Beau Geste ?,"db.movies.find({""title"": ""Beau Geste""}, {""cast"":{""$slice"": 1},""title"":1})"
what is 7th Heaven about?,"db.movies.find({""title"": ""7th Heaven""}, {""plot"": 1})"
which person directed The Lives of a Bengal Lancer?,"db.movies.find({""title"": ""The Lives of a Bengal Lancer""}, {""directors"": 1})"
In which countries was the movie The Freshman produced?,"db.movies.find({""title"":""The Freshman""}, {""countries"":1})"
What is the name of the director and cast for the movie 'Viva Villa!'?,"db.movies.find({""title"": ""Viva Villa!""}, {""directors"": 1, ""cast"": 1, ""_id"": 0})"
what was the release date of the film The Mummy?,"db.movies.find({""title"": ""The Mummy""}, {""released"": 1})"
How many movies by Coen Brothers were released in each year?,"db.movies.aggregate([{ $match: { ""directors"": ""Coen Brothers"" }},{""$group"": { ""_id"": ""$year"", ""count"": {""$sum"": 1}}}])"
what sort of movie is Secret Agent?,"db.movies.find({""title"": ""Secret Agent""}, {""genres"": 1})"
who wrote The Lost World?,"db.movies.find({""title"": ""The Lost World""}, {""writers"": 1})"
what kind of movie is The Awful Truth?,"db.movies.find({""title"": ""The Awful Truth""}, {""genres"": 1})"
What is the website associated with the movie The Music Box on Rotten Tomatoes?,"db.movies.find({""title"": ""The Music Box""}, {""tomatoes.website"": 1})"
"The Docks of New York, is written by who?","db.movies.find({""title"": ""The Docks of New York""}, {""writers"": 1})"
who directed the film State Fair?,"db.movies.find({""title"": ""State Fair""}, {""directors"": 1})"
What is the consensus among critics about the movie Tsirk ?,"db.movies.find({""title"": ""Tsirk""}, {""tomatoes.consensus"": 1})"
Which movie genres did Ridley Scott direct?,"db.movies.distinct(""genres"", { ""directors"": ""Ridley Scott"" })"
Which films did Tim Burton direct in the 1990s?,"db.movies.find({""directors"": 'Tim Burton', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
What is the movie The Crusades rating?,"db.movies.find({""title"":""The Crusades""}, {""rated"":1})"
Which actor has the highest count of appearances in Ridley Scott's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Ridley Scott"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the plot summary of the movie Ben-Hur: A Tale of the Christ ?,"db.movies.find({ ""title"": ""Ben-Hur: A Tale of the Christ"" }, { ""plot"": 1})"
In what year was the movie Camille released?,"db.movies.find({""title"":""Camille""}, {""year"":1})"
The Trail of the Lonesome Pine was directed by who?,"db.movies.find({""title"": ""The Trail of the Lonesome Pine""}, {""directors"": 1})"
what is the film Broadway Bill imdb rating?,"db.movies.find({""title"": ""Broadway Bill""}, {""imdb.rating"": 1})"
what was the release year of The Saphead?,"db.movies.find({""title"": ""The Saphead""}, {""year"": 1})"
who wrote the screenplay for the film Black Fury?,"db.movies.aggregate([ { ""$match"": { ""title"":""Black Fury""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
When was the information about the movie Twentieth Century last updated?,"db.movies.find({ ""title"": ""Twentieth Century"" }, { ""lastupdated"": 1})"
who was Trouble in Paradise written by?,"db.movies.find({""title"": ""Trouble in Paradise""}, {""writers"": 1})"
the film The Big Trail starred which actors?,"db.movies.find({""title"": ""The Big Trail""}, {""cast"": 1})"
who wrote the film The Ace of Hearts?,"db.movies.find({""title"": ""The Ace of Hearts""}, {""writers"": 1})"
what type of film is The Perils of Pauline?,"db.movies.find({""title"": ""The Perils of Pauline""}, {""genres"": 1})"
